,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
3,0399149147,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $1.65  \n\n\n   \n     18 Used from $1.65      ', '  Paperback  \n $18.06  \n\n\n   \n     9 Used from $3.04         8 New from $15.49      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     155 Used from $0.99         17 New from $4.04         3 Collectible from $7.99      ', '  Audio CD  \n $19.99  \n\n\n   \n     20 Used from $0.10         15 New from $12.90         1 Collectible from $11.99      '], '0399149147')",18.06,1.65,Red Rabbit (Jack Ryan Universe #3; Jack Ryan #2),Putnam Adult,9,2002,Tom Clancy,3.69,"Tom Clancy returns to Jack Ryan's early days, in an extraordinary novel of global political drama.",,640.0,27896,817,2426,8043,9782,6828
5,0859974669,"(['  Kindle  \n $0.39  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     1 Used from $4.95      ', '  Paperback  \n $3.99  \n\n\n   \n     78 Used from $0.99         25 New from $3.95      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     69 Used from $0.99         8 New from $4.99         2 Collectible from $6.01      ', '  MP3 CD  \n    \n                             from $7.60                \n\n\n   \n     1 New from $7.60      ', '  Pocket Book  \n    \n                        \n    —\n             \n\n\n   \n  '], '0859974669')",3.99,4.95,A room with a view,Chivers,0,1980,E.M. Forster,3.91,"""But you do,"" he went on, not waiting for contradiction. ""You love the boy body and soul, plainly, directly, as he loves you, and no other word expresses it ...""<br /><br />Lucy has her rigid, middle-class life mapped out for her until she visits Florence with her uptight cousin Charlotte, and finds her neatly ordered existence thrown off balance. Her eyes are opened by the unconventional characters she meets at the Pension Bertolini: flamboyant romantic novelist Eleanor Lavish, the Cockney Signora, curious Mr Emerson and, most of all, his passionate son George.<br /><br />Lucy finds herself torn between the intensity of life in Italy and the repressed morals of Edwardian England, personified in her terminally dull fiancé Cecil Vyse. Will she ever learn to follow her own heart?",,338.0,151251,2824,8944,35712,55777,47994
6,0671017411,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.18  \n\n\n   \n     145 Used from $1.08         13 New from $4.91         4 Collectible from $6.25      ', '  Perfect Paperback  \n $13.93  \n\n\n   \n     4 Used from $5.97      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     115 Used from $1.40         8 New from $7.09         1 Collectible from $6.99      ', '  Audio CD  \n $14.99  \n\n\n   \n     4 New from $11.26      ', '  Wall Chart  \n    \n                             from $29.82                \n\n\n   \n     1 Used from $29.82      '], '0671017411')",13.93,16.18,Come the Spring,Pocket Books,2,1999,Julie Garwood,3.97,"Adam, Douglas and Travis Clayborne are each happily married, and their beloved Mama Rose is overjoyed with the wonderful ladies who have joined the family. But all the Claybornes wonder on which side of the law their restless brother Cole will land. Now, amid a joyous Clayborne reunion, an elusive stranger emerges -- a man who once lured Cole Clayborne into a shadowy chase, and who will now bring unexpected turns to his uncertain future.<br /><br />Daniel Ryan is a hard man set on vengeance, a U.S. marshal driven by a tragic loss from the past. His quest leads him to a beautiful young woman -- the sole witness to a terrible crime -- whom he unwittingly draws into the line of fire. The power and drama of their blossoming passion, entwined with the surprising choices of the wayward Cole, make COME THE SPRING as poignant as it is unforgettable.",,353.0,8076,113,418,1975,2644,2926
7,0449147770,"(['  Kindle  \n $5.97  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.80  \n\n\n   \n     5 Used from $1.96      ', '  Paperback  \n $8.99  \n\n\n   \n     1 Used from $9.01         1 New from $8.99      ', '  Mass Market Paperback  \n $42.80  \n\n\n   \n     2 Used from $37.44         2 New from $42.80      ', '  MP3 CD  \n $9.99  \n\n\n   \n     3 New from $8.76      '], '0449147770')",8.99,9.8,"Flying Too High (Phryne Fisher, #2)",Fawcett,0,1992,Kerry Greenwood,3.86,"Phryne Fisher has her hands full in this, her second adventure. And just when we think she s merely a brilliant, daring, sexy woman, Phyrne demonstrates other skills, including flying an airplane and doing her own stunts! Phryne takes on a fresh case at the pleading of a hysterical woman who fears her hot-headed son is about to murder his equally hot-headed father. Phryne, bold as we love her to be, first upstages the son in his own airplane at his Sky-High Flying School, then promptly confronts him about his mother s alarm. To her dismay, however, the father is soon killed and the son taken off to jail.<br /><br />Then a young girl is kidnapped, and Phryne who will never leave anyone in danger, let alone a child goes off to the rescue. Engaging the help of Bert and Cec, the always cooperative Detective-Inspector Robinson, and her old flying chum Bunji Ross, Phryne comes up with a scheme too clever to be anyone else s, and in her typical fashion saves the day, with plenty of good food and hot tea all around.<br /><br />Meanwhile, Phryne moves into her new home at 221B, The Esplanade, firmly establishes Dot as her Watson, and adds two more of our favorite characters, Mr. and Mrs. Butler, to the cast.""",,147.0,10362,50,408,2937,4475,2492
8,0140052771,"(['  Hardcover  \n $74.99  \n\n\n   \n     4 Used from $74.99      ', '  Paperback  \n $12.35  \n\n\n   \n     12 Used from $4.98         1 Collectible from $24.95      '], '0140052771')",12.35,74.99,Ashes and Diamonds,Penguin Books,4,1980,Jerzy Andrzejewski,3.66,"Ashes and Diamonds takes us to a provincial town in the spring of 1945. The nation is in the throes of transformation to People's Poland. Communists, socialists, and nationalists; thieves and black marketeers; servants and fading aristocrats; veteran terrorists and bands of murderous children bewitched by the lure of crime and adventure--all these converge on the town's chief hotel, a microcosm of an uprooted world.",,256.0,635,13,54,191,256,121
12,2035832063,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $13.99  \n\n\n   \n     1 New from $13.99      ', '  Paperback  \n $2.50  \n\n\n   \n     11 Used from $2.50      ', '  Mass Market Paperback  \n $3.54 - $5.38  \n\n\n   \n     9 Used from $3.00         9 New from $5.38      ', '  Pocket Book  \n $1.99 - $20.72  \n\n\n   \n     21 Used from $1.99         2 New from $20.72      '], '2035832063')",2.5,13.99,Candide,Larousse,0,2006,Voltaire,3.77,"<i>Candide</i> is the story of a gentle man who, though pummeled and slapped in every direction by fate, clings desperately to the belief that he lives in ""the best of all possible worlds."" On the surface a witty, bantering tale, this eighteenth-century classic is actually a savage, satiric thrust at the philosophical optimism that proclaims that all disaster and human suffering is part of a benevolent cosmic plan. Fast, funny, often outrageous, the French philosopher's immortal narrative takes Candide around the world to discover that -- contrary to the teachings of his distinguished tutor Dr. Pangloss -- all is not always for the best. Alive with wit, brilliance, and graceful storytelling, <i>Candide</i> has become Voltaire's most celebrated work.",,203.0,216256,6064,17490,56859,75626,60217
17,0573601046,"(['  Kindle  \n $0.74  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.86  \n\n\n   \n     4 New from $8.86      ', '  Paperback  \n $10.95  \n\n\n   \n     22 Used from $1.28         9 New from $6.96      ', '  Mass Market Paperback  \n $6.83  \n\n\n   \n     7 Used from $2.85         1 New from $6.50      ', '  Audio CD  \n $29.95  \n\n\n   \n     1 New from $29.95      '], '0573601046')",10.95,8.86,Arms and the Man,"Samuel French, Inc.",0,2011,Hannah Bos,3.87,"Full Length, Satirical Comedy<br /><br />Characters: 5 male, 3 female<br /><br />2 Interior and Exterior Scenes<br /><br />Shaw's satire on war and the professional soldier.",,90.0,7938,100,491,2050,3013,2284
23,1433214296,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.99  \n\n\n   \n     77 Used from $1.49         13 New from $7.29         6 Collectible from $8.96      ', '  Paperback  \n $12.99  \n\n\n   \n     34 Used from $1.46         7 New from $9.35      ', '  Audio CD  \n $15.42  \n\n\n   \n     4 Used from $5.99         3 New from $12.47      '], '1433214296')",12.99,19.99,Three Little Words,Blackstone Audiobooks,3,2008,Ashley Rhodes-Courter,4.18,"""Sunshine, you're my baby and I'm your only mother. You must mind the one taking care of you, but she's not your mama."" Ashley Rhodes-Courter spent nine years of her life in fourteen different foster homes, living by those words. As her mother spirals out of control, Ashley is left clinging to an unpredictable, dissolving relationship, all the while getting pulled deeper and deeper into the foster care system. Painful memories of being taken away from her home quickly become consumed by real-life horrors, where Ashley is juggled between caseworkers, shuffled from school to school, and forced to endure manipulative, humiliating treatment from a very abusive foster family. In this inspiring, unforgettable memoir, Ashley finds the courage to succeed and in doing so, discovers the power of her own voice.",,7.0,11537,73,316,1870,4468,4810
24,0199536848,"(['  Kindle  \n $7.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.99  \n\n\n   \n     1 New from $13.99      ', '  Paperback  \n $3.99  \n\n\n   \n     27 Used from $1.55         13 New from $3.99      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     45 Used from $2.06         17 New from $2.95      ', '  Audio CD  \n $9.99  \n\n\n   \n     1 New from $9.99      ', '  Pocket Book  \n $7.95  \n\n\n   \n     52 Used from $1.96         21 New from $6.82         2 Collectible from $19.00      '], '0199536848')",3.99,13.99,Gulliver's Travels,Oxford University Press,50,2008,Jonathan Swift,3.5700000000000003,"In <em>Gulliver's Travels</em>, the narrator represents himself as a reliable reporter of the fantastic adventures he has just experienced. But how far can we rely on a narrator who has been impersonated by someone else? The work purports to be a travel book, and describes the shipwrecked Gulliver's encounters with the inhabitants of four extraordinary places: Lilliput, Brobdingnag, Laputa, and the country of the Houyhnhnms. An extraordinarily skillful blend of fantasy and realism makes <em>Gulliver's Travels</em> by turns hilarious, frightening, and profound. Swift's alter ego plays tricks on us, and our gullibility uncovers one of the world's most disturbing satires of the human condition.<br /><br />The fullest, most up-to-date paperback of <em>Gulliver's Travels</em> currently available, this new edition contains an astute analysis of the nature of Swift's satire. It includes the changing frontispiece portraits of Gulliver that appeared in successive early editions and whose subtle changes contribute to the reader's uncertainty about the veracity of the author. A new introduction by Claude Rawson draws on the latest scholarship and considers Swift's role-playing and the relationship of the author to Gulliver.<br /><br /><strong>About the Series: </strong>For over 100 years <strong>Oxford World's Classics</strong> has made available the broadest spectrum of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, voluminous notes to clarify the text, up-to-date bibliographies for further study, and much more.<br />",,362.0,230609,7149,23692,76787,75816,47165
26,031214752X,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $6.37  \n\n\n   \n     14 Used from $2.87         1 New from $50.00      ', '  Paperback  \n $7.31  \n\n\n   \n     7 Used from $4.27         1 New from $108.48      ', '  Mass Market Paperback  \n $39.95  \n\n\n   \n     42 Used from $1.30         2 New from $39.95      ', '  Audio CD  \n $101.95  \n\n\n   \n     1 New from $101.95      '], '031214752X')",7.31,6.37,"An Unholy Alliance (Matthew Bartholomew, #2)",St. Martin's Press,4,1996,Susanna Gregory,3.99,"Two years after the Black Death has decimated the population of England, a new killer is stalking the streets of Cambridge: a serial murderer preying on the women of the small town. Matthew Bartholomew, a physician with ideas ahead of his time and his companion, the portly monk Brother Michael, must uncover the identity of the killer before he strikes again. Meanwhile, bands of homeless peasants roam the land, shunning lives of virtual slavery in the fields, and turning instead to robbery and violence. The high death rate among priests and monks has left the people vulnerable to sinister cults that have grown up in the wake of the plague. During the course of their investigation, Bartholomew and Brother Michael are compelled to undertake the exhumation of a clerk, eavesdrop on a sinister meeting in an abandoned church, and engage in a hair-raising chase on horseback to save their lives as they close in on an evil coven taking advantage of the despair caused by the plague.",,310.0,1751,10,54,434,707,546
