,ISBN,result
0,0061566152,"([], '0061566152')"
1,0451619536,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $18.99  \n\n\n   \n     22 Used from $3.00         7 New from $34.06      ', '  Paperback  \n $13.75  \n\n\n   \n     75 Used from $1.75         26 New from $9.97         2 Collectible from $15.50      ', '  Mass Market Paperback  \n $9.07  \n\n\n   \n     3 Used from $9.07      '], '0451619536')"
2,0671034014,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.25  \n\n\n   \n     152 Used from $1.00         15 New from $9.25         2 Collectible from $14.95      ', '  Paperback  \n $20.61  \n\n\n   \n     4 Used from $17.96         1 New from $25.91         1 Collectible from $17.95      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     144 Used from $0.99         13 New from $7.81         1 Collectible from $9.99      ', '  Audio CD  \n $14.99  \n\n\n   \n     1 Used from $4.00         3 New from $11.26      '], '0671034014')"
3,0829747141,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $9.99  \n\n\n   \n     10 Used from $2.45         20 New from $6.99      '], '0829747141')"
4,0820307009,"([], '0820307009')"
5,3421058598,"(['  Kindle  \n $14.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $12.95  \n\n\n   \n     2 Used from $12.95      ', '  Paperback  \n $16.08  \n\n\n   \n     4 Used from $16.00         7 New from $12.00      ', '  Audio CD  \n $5.71  \n\n\n   \n     4 Used from $5.71         2 New from $46.17      '], '3421058598')"
6,0141323264,"(['  Hardcover  \n $48.73  \n\n\n   \n     9 Used from $7.94         3 New from $44.75      ', '  Paperback  \n $12.46  \n\n\n   \n     7 Used from $8.46      ', '  Audio CD  \n $26.30  \n\n\n   \n     2 New from $26.29      '], '0141323264')"
7,1400098696,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Audio, Cassette  \n $10.95  \n\n\n   \n     2 Used from $11.00         2 New from $10.22      '], '1400098696')"
8,1417667214,"(['  Paperback  \n $18.99  \n\n\n   \n     45 Used from $1.91         7 New from $13.45      '], '1417667214')"
9,0385425414,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $25.34  \n\n\n   \n     47 Used from $1.95         6 New from $24.99         14 Collectible from $8.94      ', '  Paperback  \n $15.95  \n\n\n   \n     78 Used from $1.47         9 New from $10.89         3 Collectible from $11.95      ', '  Preloaded Digital Audio Player  \n    \n                        \n    —\n             \n\n\n   \n  ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '0385425414')"
10,0199536333,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $33.95  \n\n\n   \n     2 Used from $30.99         5 New from $33.95      ', '  Paperback  \n $15.95  \n\n\n   \n     16 Used from $2.31         15 New from $9.75      ', '  MP3 CD  \n $19.00  \n\n\n   \n     1 New from $19.00      '], '0199536333')"
11,0450508080,"(['  Paperback  \n $30.04  \n\n\n   \n     5 Used from $30.04      '], '0450508080')"
12,0877953848,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $14.50  \n\n\n   \n     24 Used from $4.36         4 Collectible from $15.00      ', '  Paperback  \n $7.99  \n\n\n   \n     6 Used from $3.99      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     84 Used from $1.35         10 New from $6.64      '], '0877953848')"
13,0375938540,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $6.97  \n\n\n   \n     5 Used from $2.99      ', '  Paperback  \n $4.72  \n\n\n   \n     16 Used from $2.49      ', '  Audio CD  \n $9.99  \n\n\n   \n     4 New from $8.76      '], '0375938540')"
14,0912670568,"(['  Kindle  \n $14.15  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $9.90  \n\n\n   \n     4 Used from $7.29      ', '  Paperback  \n $13.00 - $14.89  \n\n\n   \n     23 Used from $3.35         17 New from $14.89      '], '0912670568')"
15,1590172906,"(['  Hardcover  \n $18.95  \n\n\n   \n     24 Used from $3.04         14 New from $12.77      ', '  Paperback  \n $22.91  \n\n\n   \n     5 Used from $22.89         5 New from $22.91      ', '  Mass Market Paperback  \n    \n                             from $21.42                \n\n\n   \n     1 Used from $21.42      '], '1590172906')"
16,0192504681,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $0.00 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $36.99  \n\n\n   \n     5 Used from $35.00      ', '  Paperback  \n $8.99  \n\n\n   \n     1 New from $8.99      ', '  Mass Market Paperback  \n $15.93  \n\n\n   \n     3 Used from $11.95      ', '  MP3 CD  \n $9.99  \n\n\n   \n     4 New from $8.76      '], '0192504681')"
17,0192816349,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.46  \n\n\n   \n     1 Used from $20.65         6 New from $7.93      ', '  Paperback  \n $6.24  \n\n\n   \n     19 Used from $2.59         1 New from $40.08      ', '  Mass Market Paperback  \n $6.00  \n\n\n   \n     6 Used from $2.50         3 New from $6.00      ', '  Audio CD  \n $16.93  \n\n\n   \n     4 Used from $16.93         5 New from $18.23      ', '  Pocket Book  \n    \n                             from $0.99                \n\n\n   \n     4 Used from $0.99      '], '0192816349')"
18,1421901250,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $68.99  \n\n\n   \n     1 Used from $68.99      ', '  Paperback  \n $7.95  \n\n\n   \n     2 Used from $6.09         1 New from $7.95      ', '  Mass Market Paperback  \n $23.63  \n\n\n   \n     3 Used from $19.00      ', '  MP3 CD  \n $44.95  \n\n\n   \n     1 Used from $18.47         2 New from $22.47      '], '1421901250')"
19,2868695124,"([], '2868695124')"
20,0920303110,"(['  Hardcover  \n $7.99  \n\n\n   \n     31 Used from $1.49         14 New from $7.13      ', '  Paperback  \n $15.66  \n\n\n   \n     40 Used from $1.28         1 New from $15.66         1 Collectible from $12.80      ', '  Board book  \n $23.02  \n\n\n   \n     10 Used from $11.60         2 New from $23.02      '], '0920303110')"
21,1554680662,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $25.75  \n\n\n   \n     2 Used from $1.17         1 New from $25.75         1 Collectible from $7.95      ', '  Paperback  \n $5.99  \n\n\n   \n     6 Used from $5.98      ', '  Mass Market Paperback  \n $7.78  \n\n\n   \n     23 Used from $1.50         2 New from $4.79      ', '  Audio CD  \n $15.47  \n\n\n   \n     1 Used from $8.48         2 New from $12.47      '], '1554680662')"
22,0613835298,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.39  \n\n\n   \n     10 Used from $2.72      ', '  Paperback  \n $5.99  \n\n\n   \n     23 Used from $1.18         1 New from $5.99      ', '  Audio CD  \n $17.92  \n\n\n   \n     6 New from $17.72      '], '0613835298')"
23,0446179469,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.00  \n\n\n   \n     23 Used from $1.75         5 New from $14.71      '], '0446179469')"
24,0006724825,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $6.48  \n\n\n   \n     18 Used from $2.51         3 New from $53.11         3 Collectible from $20.00      ', '  Paperback  \n $15.18  \n\n\n   \n     7 Used from $11.18      ', '  Mass Market Paperback  \n $12.97  \n\n\n   \n     7 Used from $8.89         1 New from $8.80         1 Collectible from $21.00      ', '  Rag Book  \n $18.59  \n\n\n   \n     5 Used from $14.95         2 Collectible from $35.00      '], '0006724825')"
25,0708985211,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $29.18  \n\n\n   \n     12 Used from $24.91         1 New from $29.18         4 Collectible from $20.79      ', '  Paperback  \n $24.99  \n\n\n   \n     9 Used from $8.98         3 New from $24.99      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     44 Used from $1.71         16 New from $7.19      ', '  Audio CD  \n $27.43  \n\n\n   \n     1 Used from $42.44         7 New from $24.99      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '0708985211')"
26,0060874481,"(['  Kindle  \n $13.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.86  \n\n\n   \n     42 Used from $1.43         5 New from $10.86         13 Collectible from $5.52      ', '  Paperback  \n $16.00  \n\n\n   \n     61 Used from $1.18         19 New from $5.23         1 Collectible from $6.99      ', '  Audio CD  \n $9.91  \n\n\n   \n     6 Used from $5.00         1 New from $71.40      '], '0060874481')"
27,0606079726,"([], '0606079726')"
28,1400001439,"(['  Paperback  \n $9.92  \n\n\n   \n     14 Used from $4.11         13 New from $9.92      ', '  Mass Market Paperback  \n $60.30  \n\n\n   \n     3 Used from $60.30         2 New from $64.99      '], '1400001439')"
29,0425222977,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     40 Used from $1.43         1 New from $7.99      '], '0425222977')"
30,086565011X,"(['  Hardcover  \n $77.15  \n\n\n   \n     6 Used from $43.10         1 Collectible from $40.00      '], '086565011X')"
31,0590381989,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n    \n                             from $44.00                \n\n\n   \n     1 Collectible from $44.00      ', '  Paperback  \n $24.99  \n\n\n   \n     46 Used from $1.43         2 New from $24.99      '], '0590381989')"
32,0061374520,"(['  Kindle  \n $12.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.93  \n\n\n   \n     49 Used from $1.43         6 New from $3.99         12 Collectible from $2.99      ', '  Paperback  \n $13.99  \n\n\n   \n     51 Used from $0.99         16 New from $11.89         1 Collectible from $5.99      ', '  Mass Market Paperback  \n $15.81  \n\n\n   \n     35 Used from $1.37      ', '  MP3 CD  \n $29.95  \n\n\n   \n     1 Used from $9.97         1 New from $29.95      '], '0061374520')"
33,0141384441,"(['  Hardcover  \n $9.99  \n\n\n   \n     13 Used from $3.22         3 New from $22.26         1 Collectible from $22.09      ', '  Paperback  \n $3.68  \n\n\n   \n     13 Used from $2.00         10 New from $8.28      ', '  Board book  \n    \n                             from $53.30                \n\n\n   \n     4 Used from $53.30      '], '0141384441')"
34,0375841695,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.37 - $15.93  \n\n\n   \n     34 Used from $1.60         12 New from $11.50         1 Collectible from $15.00      ', '  Paperback  \n $7.92 - $7.99  \n\n\n   \n     23 Used from $1.48         33 New from $5.00      ', '  Mass Market Paperback  \n $11.70  \n\n\n   \n     14 Used from $1.99      ', '  Audio CD  \n $14.99  \n\n\n   \n     2 Used from $14.99      '], '0375841695')"
35,1575663899,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $26.95  \n\n\n   \n     4 New from $26.95      ', '  Paperback  \n $4.70  \n\n\n   \n     1 New from $4.70      ', '  Mass Market Paperback  \n $7.90  \n\n\n   \n     5 Used from $7.90         1 Collectible from $11.11      ', '  Audio CD  \n $20.37  \n\n\n   \n     2 New from $17.47      '], '1575663899')"
36,0071592539,"(['  eTextbook  \n $40.59  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $49.90 - $68.44  \n\n\n   \n     9 Used from $42.24         6 New from $57.80      '], '0071592539')"
37,8408046195,"([], '8408046195')"
