,ISBN,result
0,0670863580,"(['  Hardcover  \n $8.49  \n\n\n   \n     58 Used from $1.98         5 New from $19.80         11 Collectible from $4.24      ', '  Paperback  \n $13.17  \n\n\n   \n     55 Used from $1.20         5 New from $12.60         3 Collectible from $13.03      ', '  Audio CD  \n $99.95  \n\n\n   \n     1 New from $99.95      '], '0670863580')"
1,0195036107,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $40.17  \n\n\n   \n     19 Used from $13.64         4 New from $40.17         2 Collectible from $16.95      ', '  Paperback  \n $14.80 - $19.95  \n\n\n   \n     81 Used from $3.50         18 New from $14.92         1 Collectible from $8.00      ', '  MP3 CD  \n $9.99  \n\n\n   \n     4 New from $8.76      '], '0195036107')"
2,0452009219,"(['  Paperback  \n $10.95  \n\n\n   \n     29 Used from $1.81         1 New from $28.16      '], '0452009219')"
3,0819540684,"(['  Hardcover  \n $75.00  \n\n\n   \n     8 Used from $29.37         1 New from $75.00         1 Collectible from $31.99      '], '0819540684')"
4,3442243637,"(['  Perfect Paperback  \n $9.89  \n\n\n   \n     4 Used from $9.88      '], '3442243637')"
5,0140012796,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $34.36  \n\n\n   \n     3 New from $34.36         1 Collectible from $30.00      ', '  Paperback  \n $9.56  \n\n\n   \n     29 Used from $0.01      ', '  Mass Market Paperback  \n    \n                             from $18.99                \n\n\n   \n     1 Used from $18.99      ', '  Audio CD  \n $29.95  \n\n\n   \n     1 Used from $10.95         2 New from $14.97      '], '0140012796')"
6,0815624387,"(['  Paperback  \n    \n                             from $45.00                \n\n\n   \n     1 New from $45.00      '], '0815624387')"
7,1934609072,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $11.06  \n\n\n   \n     10 Used from $6.90         3 Collectible from $42.50      ', '  Paperback  \n $15.95  \n\n\n   \n     43 Used from $1.18         13 New from $9.49         1 Collectible from $4.99      ', '  Mass Market Paperback  \n $6.05  \n\n\n   \n     12 Used from $1.88      '], '1934609072')"
8,1904799159,"(['  Hardcover  \n $40.00  \n\n\n   \n     6 Used from $28.87         4 New from $34.93      ', '  Paperback  \n $12.74  \n\n\n   \n     1 New from $12.74      '], '1904799159')"
9,9100107492,"([], '9100107492')"
